Ticker,Exchange,Name,Sector,Sub-sector,Months,Number of Contracts,Quandl Code
RB,CME,Gasoline,Energy,Refined Product,FGHJKMNQUVXZ,10,CHRIS/CME_RB
RC,LIFFE,Coffee,Agriculture,Soft,FHKNUX,6,CHRIS/LIFFE_RC
RF,ICE,Russell 1000,Equities,US,HMUZ,2,CHRIS/ICE_RF
RR,CME,Rough Rice,Agriculture,Grain,FHKNUX,3,CHRIS/CME_RR
RS,ICE,Canola,Agriculture,Grain,FHKNX,5,CHRIS/ICE_RS
S,CME,Soybeans,Agriculture,Grain,FHKNQUX,10,CHRIS/CME_S
SF,CME,Swiss Franc,Fx,Major,HMUZ,2,CHRIS/CME_SF
SI,CME,Silver,Metals,Precious,FHJKNUZ,12,CHRIS/CME_SI
SM,CME,Soybean Meal,Agriculture,Grain,FHKNQUVZ,11,CHRIS/CME_SM
TY,CME,10 Year Treasury Note,Interest Rates,US gov,HMUZ,2,CHRIS/CME_TY
UL,CME,Ultra Treasury Bond,Interest Rates,US gov,HMUZ,2,CHRIS/CME_UL
US,CME,30-Year Treasury Bond,Interest Rates,US gov,HMUZ,2,CHRIS/CME_US
VN,CBOE,NASDAQ 100 VIX,Equities,Vol,FGHJKMNQUVXZ,2,CHRIS/CBOE_VN
VX,CBOE,S&P 500 VIX,Equities,Vol,FGHJKMNQUVXZ,9,CHRIS/CBOE_VX
W,CME,Wheat,Agriculture,Grain,HKNUZ,7,CHRIS/CME_W
Z,LIFFE,FTSE 100 Index,Equities,Europe,HMUZ,2,CHRIS/LIFFE_Z
ZN,MCX,Zinc,Metals,Base,FGHJKMNQUVXZ,2,CHRIS/MCX_ZN
ZR,ICE,US Dollar/South African Rand,Fx,EM,HMUZ,2,CHRIS/ICE_ZR
